,Title,Genre,Director,Actors,Plot
621,Hotel Transylvania,"Animation, Comedy, Family            ",Genndy Tartakovsky,"['Adam Sandler', 'Kevin James', 'Andy Samberg', 'Selena Gomez']","Dracula, who operates a high-end resort away from the human world, goes into overprotective mode when a boy discovers the resort and falls for the count's teenaged daughter."
622,Angels in the Outfield,"Comedy, Family, Fantasy            ",William Dear,"['Danny Glover', 'Brenda Fricker', 'Tony Danza', 'Christopher Lloyd']","When a boy prays for a chance to have a family if the California Angels win the pennant, angels are assigned to make that possible."
623,The Lego Movie,"Animation, Action, Adventure            ",Christopher Miller,"['Phil Lord', 'Chris Pratt', 'Will Ferrell', 'Elizabeth Banks', 'Will Arnett']","An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis."
624,Greed,"Comedy, Drama            ",Michael Winterbottom,"['Steve Coogan', 'Isla Fisher', 'Shirley Henderson', 'David Mitchell']",Satire about the world of the super-rich.
625,The Meyerowitz Stories (New and Selected),"Comedy, Drama            ",Noah Baumbach,"['Adam Sandler', 'Grace Van Patten', 'Dustin Hoffman', 'Elizabeth Marvel']",An estranged family gathers together in New York City for an event celebrating the artistic work of their father.
626,The Rundown,"Action, Adventure, Comedy            ",Peter Berg,"['Dwayne Johnson', 'Seann William Scott', 'Christopher Walken', 'Rosario Dawson']",A tough aspiring chef is hired to bring home a mobster's son from the Amazon but becomes involved in the fight against an oppressive town operator and the search for a legendary treasure.
627,Charlie's Angels: Full Throttle,"Action, Adventure, Comedy            ",McG,"['Drew Barrymore', 'Lucy Liu', 'Cameron Diaz', 'Bernie Mac']",The Angels investigate a series of murders which occur after the theft of a witness protection profile database.
628,Hall Pass,"Comedy, Romance            ",Bobby Farrelly,"['Peter Farrelly', 'Owen Wilson', 'Jason Sudeikis', 'Christina Applegate', 'Jenna Fischer']","Rick and Fred, two husbands who are having difficulty in their marriages, are given a Hall Pass by their wives: for one week, they can do whatever they want."
629,Trainwreck,"Comedy, Drama, Romance            ",Judd Apatow,"['Amy Schumer', 'Bill Hader', 'Brie Larson', 'Colin Quinn']","Having thought that monogamy was never possible, a commitment-phobic career woman may have to face her fears when she meets a good guy."
630,Relatos salvajes,"Comedy, Drama, Thriller            ",Damián Szifron,"['Darío Grandinetti', 'María Marull', 'Mónica Villa', 'Diego Starosta']",Six short stories that explore the extremities of human behavior involving people in distress.
